nickname,type,obj,source_family,source_release,retrieved_at_utc,stable_source_id,source_row_sha256,query_response_sha256,adopted_z,adopted_z_err,measurement_kind,source_disposition,final_verdict,budget_eligible
phineas,halo,832,Legacy Survey/Zhou21,NOIRLab Data Lab ls_dr9.tractor + ls_dr9.photo_z,2026-07-22T12:11:40+00:00,ls_id:9907741567091313,5b03e4cfa1f8e0fffa6b6ec9313f6b90bdca922bc3f30a238e828069077ac4fc,d29806b4a214e3ef740a785b43307e39f36c99bdcd850179233430141ff2181c,0.1925,0.0284,photometric,frozen,confirmed,True
phineas,halo,953,DESI,NOIRLab Data Lab desi_dr1.zpix,2026-07-22T12:11:40+00:00,targetid:39633503620432806,7a3834318302333ee6b73f28526a0eee0e5a9e670ca764e29f5e9c7cb8eb7296,eabf50a3746e1551fb86b76b0bb11308277aa13b1a8f3a2784c3610e3fac9645,0.1991,0.0,spectroscopic,frozen,confirmed,True
phineas,halo,983,Legacy Survey/Zhou21,NOIRLab Data Lab ls_dr9.tractor + ls_dr9.photo_z,2026-07-22T12:11:40+00:00,ls_id:9907741567091553,54db3a08646aeca5d591adb0c65069dba87bbcda299eb33ecd1634a98a838d34,164a8391315be5fbc9a58bc317f3f375f70f01249c587d50ae3c65c15c5804e7,0.1649,0.0585,photometric,frozen,confirmed,True
phineas,halo,986,Legacy Survey/Zhou21,NOIRLab Data Lab ls_dr9.tractor + ls_dr9.photo_z,2026-07-22T12:11:40+00:00,ls_id:9907741567091138,bf28a11ea648aeb26bfaeed892a8801a123bfce52717caa955b1686d3b82ac55,c6f85a6833e610518ea2ba708cd1b327920913e96f5bbca02ac6d26bd088e636,0.2082,0.0667,photometric,frozen,inconclusive,False
phineas,halo,1072,Legacy Survey/Zhou21,NOIRLab Data Lab ls_dr9.tractor + ls_dr9.photo_z,2026-07-22T12:11:40+00:00,ls_id:9907741567091347,db7695337971cf7bd4c45088d4f2ecf5d0724bf5eaa08aa0df5b0121aef55d9b,34dffcd8bab3f3ba7bdcffa2e05ad052d6e51be66a0609b75e82c9ce29947572,0.2996,0.0793,photometric,frozen,inconclusive,False
phineas,halo,1153,DESI,NOIRLab Data Lab desi_dr1.zpix,2026-07-22T12:11:40+00:00,targetid:39633503620432567,179a63648860be823b6e4fe1711ba2caa4dba3be3c3eca7a36de55b1de8fe5fd,05fd4ba206280363acaad282db803e6b474d5363d6038233e4395978a91e23fc,0.2146,0.0,spectroscopic,frozen,confirmed,True
phineas,halo,1190,DESI,NOIRLab Data Lab desi_dr1.zpix,2026-07-22T12:11:40+00:00,targetid:39633503620432581,c1d5029e95e51b1cb64472c317ee48284340c6a674bc06c1e1e1570a0ae1db60,55d6c3d46174086e8af2167b0ccfed20e8065035e027d839dc03986ab4c2e72b,0.1096,0.0,spectroscopic,frozen,confirmed,True
phineas,halo,194021777634832653,Legacy Survey/Zhou21,NOIRLab Data Lab ls_dr9.tractor + ls_dr9.photo_z,2026-07-22T12:11:40+00:00,ls_id:9907741567091313,5b03e4cfa1f8e0fffa6b6ec9313f6b90bdca922bc3f30a238e828069077ac4fc,6cbf70424419cf1c5bec3b7822d885bfbe908fdb6b260700f8be2e01e165ef68,0.1925,0.0284,photometric,frozen,confirmed,True
phineas,halo,194031778315722893,Legacy Survey/Zhou21,NOIRLab Data Lab ls_dr9.tractor + ls_dr9.photo_z,2026-07-22T12:11:40+00:00,ls_id:9907741567091619,8fb275d72fa491824e85fd30406baccb50888a1d3b181a5111e0bef25e0ec41d,6922ea9ef52baa84125d14b144251e898655e9b1bfb3b69aefdce1a4757f99ff,0.8841,0.1155,photometric,frozen,refuted,False
phineas,halo,194041777780157594,DESI,NOIRLab Data Lab desi_dr1.zpix,2026-07-22T12:11:40+00:00,targetid:39633503620432567,179a63648860be823b6e4fe1711ba2caa4dba3be3c3eca7a36de55b1de8fe5fd,1c588831fd645b971bd99f9b613c4ac9715438b24eaebb28bb06af5cb9f368d0,0.2146,0.0,spectroscopic,frozen,confirmed,True
